"CID,A,10","CCUSTYPE,A,1","CSUPTYPE,A,1","CNAME1,A,40","CNAME2,A,40","CADDRESS1,A,40","CADDRESS2,A,40","CZIPCODE,A,10","CSVATNO,A,15","CLOCALITY,A,40","CLANGUAGE,A,2","CISPERS,L,1","CPROCAT,A,3","CSUPCAT,A,3","CCUSCAT,A,3","CCURRENCY,A,3","CVATREF,A,2","CVATNO,A,12","CVATCAT,A,1","CTELNO,A,25","CFAXNO,A,25","CMEMO,M,11","CCUSLSTMNO,I,4","CSUPLSTMNO,I,4","CCUSVNAT1,A,3","CCUSVNAT2,A,3","CCUSVATCMP,N,8","CSUPVNAT1,A,3","CSUPVNAT2,A,3","CSUPVATCMP,N,8","CCUSCTRACC,A,10","CSUPCTRACC,A,10","CCUSIMPUTA,A,10","CSUPIMPUTA,A,10","CSUPCATCOMM,A,1","CCTRYCODE,A,2","CBANKCODE,A,8","CBANKNO,A,20","DBNKQUALIF,A,8","CISWARNING,L,1","CISREADONL,L,1","CISBLOCK,L,1","CISSECRET,L,1","CCUSPAYDELAY,A,6","CSUPPAYDISC,N,8","CSUPPDISCDEL,I,4","CTEMPCUSDEBIT,$,8","CTEMPCUSCREDIT,$,8","CTEMPSUPDEBIT,$,8","CTEMPSUPCREDIT,$,8","CREMLASTDATE,@,8","CREMLASTLEVEL,I,4","CREMCAT,A,5","CREMSTATUS,A,1","CTOTINTEREST,$,8","CREATEDATE,@,8","MODIFYDATE,@,8","AUTHOR,A,10","CNATREGISTRYID,A,20","CSUPPAYDELAY,A,6","CMANUALPAY,L,1","CINDEPPAYEE,L,1","CINDEPPIMPUT,A,10","CBNKCIVILITY,A,1","CBNKLANGCODE,A,1","CBNKBANKDBK,A,4","CFACTORING,L,1","CFACTORID,A,10","CBANKORDERPAY,L,1","CBANKORDERPAYNO,A,15","CCUSPDISCDEL,I,4","CCUSPAYDISC,N,8","CCUSTEMPLID,A,10","CSUPTEMPLID,A,10","EMAILADDRESS,A,60","HTTPADDRESS,A,60","CSUPPJOB,A,10","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","TRFTSTATUS,A,3","STATIONID,A,3","XUSRGETEMPL,N,8","XUSRGETTO,$,8","XUSRGETINTERES,A,10","CBUSINESSNO,A,20","CSLEEPING,L,1","CCUSISWARNING,L,1","CSUPISWARNING,L,1","CCUSISREADONL,L,1","CSUPISREADONL,L,1","CCUSISBLOCK,L,1","CSUPISBLOCK,L,1","CCUSISSECRET,L,1","CSUPISSECRET,L,1","CCUSSLEEPING,L,1","CSUPSLEEPING,L,1","CBNKTYPEPAY,A,3","BOARDDATE,@,8","BOARDPUBLIC,L,1","FISCALCONTROL,A,25","FISCALCTRLTELNO,A,25","FOLDERID,A,2","FYEAREND,@,8","MANFOLDER,L,1","MANREPORT,L,1","REVISOR,A,10","USERRESP,A,10","VATCONTROL,A,25","VATCTRLTELNO,A,25","VATTYPE,A,3","XUSRCONTACT,A,10","CCOUNTRY,A,6","CCOUHEAD,A,40","CSUPDISCADV,L,1","CSUPDISCADVTYPE,A,1","CINDEPPAYAMN,$,8","CCUSDISCADV,L,1","CCUSDISCADVTYPE,A,1","TREMEXT,A,40"
ELECTRABEL,U,S,ELECTRABEL,,"Blvd du Régent, 8",,BE1000,,Brussel,E,0,,002,,,BE,0403170701,,,,,1,1,,,,,,,,,,612020,,,BBRBBE,,,0,0,0,0,,,,,,,,,,,,,,,,,60*,0,0,,,,,0,,0,,,,,,,,,BOB,2003-09-17 12:27:48,ADMIN,2008-06-30 12:00:45,A,,,,,0403170701,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgium,0,,,0,,
EPARCO,U,S,CENTRE TECHN. DE RECH. LE PONANT,,"Route des Salins, BP 62",,FR34140,,MEZE,F,,,002,,,FR,,,0033/67435566,,,1,3,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,FR,France,0,,,0,,
ERAN,U,U,ERAN PARTYRENT NV,,KONTICHSESTEENWEG 73,,BE2630,,AARTSELAAR,N,,003,,,,BE,0446732213,,038252535,038252124,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0446732213,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
ERIKS,C,U,ERIKS NV,,BOOMBEKELAAN 3,,BE2660,,HOBOKEN,N,,,,001,,BE,0402956608,,038292611,038283959,,3,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0402956608,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
ETIMINE,U,S,ETIMINE S.A.,,"Rue d'Amsterdam, 23",,LU1126,,LUXEMBOURG,F,,,002,,,LU,,,00352/45.72.50,,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
EUPENER,U,U,EUPENER GENOSSENSCHAFTMOLKEREI SC,,MOLKEREIWEG 14,,BE4711,,WALHORN,F,,003,,,,BE,0402331650,,087653717,087659022,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0402331650,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
EUROCOMP,C,U,EUROCOMPTES,,"Avenue de la Faïencerie, 8",,LU1510,,Luxembourg,F,,,,001,,LU,,,00352/47.10.11,,,3,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
EUROFOIL,U,S,EUROFOIL BELGIUM SA,,RUE SOMPRE 51,,BE4400,,IVOZ-RAMET,F,,,002,,,BE,0406017056,,042738787,042751047,,1,3,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0406017056,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
EUROPHOS,U,U,EUROPHOS SA,,RUE JOSEPH WAUTERS 101,,BE4480,,ENGIS,F,,003,,,,BE,0447599570,,042739680,042756836,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0447599570,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
EURO_DIAMO,C,U,EURO DIAMOND DISTRIBUTORS NV,,SCHUPSTRAAT 9,,BE2018,,ANTWERPEN,N,,,,001,,BE,0435950959,,032328224,,,2,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0435950959,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
FAB_FER,U,S,FABRIQUE DE FER DE CHARLER,,RUE DE CHATELET 266,,BE6030,,MARCHIENNE-AU-PONT,F,,,002,,,BE,0422027402,,071441711,071441950,,1,3,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0422027402,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
FACTOR,U,S,Société de Factoring,,"Rue des Prés, 126",,BE1000,,Bruxelles,F,0,,001,,,,,,02/567.99.88,,,1,1,,,,,,,,,,,,,,000000050555,,0,0,0,0,,,,,,,,,,,,,,,,,60*,0,0,,,,,0,,0,,,,,,,,,BOB,2004-12-01 09:54:50,ADMIN,2008-06-30 12:00:44,A,000,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,0,0,,,,,,,BE,Belgique,0,,,0,,
FIDCENT,U,U,FIDUCIERE CENTRALE,,ZONING CLOCHE D'OR,4 RUE HENRI SCHNADT,LU2530,,LUXEMBOURG,,,003,,,,LU,,,00352/4037271,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
FIDGENER,C,U,FIDUCIAIRE GENERALE,,RUE GLESNER 21,P.O. Box 1173,LU1011,,LUXEMBOURG,F,,,,001,,LU,,,00352/49.92.21,,,4,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
FINA,U,S,FINA EUROPE NV,,BOMBARDEMENTSTRAAT 15,,BE9940,,ERTVELDE,N,,,002,,,BE,0403063902,,022881511,022881661,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0403063902,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
FINA_NV,U,U,FINA NV,,WETENSCHAPSSTRAAT 37,,BE1040,,BRUSSEL,N,,003,,,,BE,0403063902,,022889933,022883260,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0403063902,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
FINA_RAFF,C,U,FINA RAFFINADERIJ ANTWERPEN NV,,SCHELDELAAN 16,,BE2030,,ANTWERPEN,N,,,,001,,BE,0404586901,,035455011,035455000,,3,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0404586901,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
FIRSTBUS,U,S,First Business Media,,30 rue de l'industrie,,LU8069,,Strassen,F,,,002,,,LU,,,00352317673,,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
FORCAST,U,U,FORCAST BELGIUM (EX OSB CY) SA,,RUE DE LA BARRIERE 40,,BE4100,,SERAING,F,,003,,,,BE,0403970356,,043388110,043388188,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0403970356,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
FORD,C,U,FORD,,GROENENBORGERLAAN 16,,BE2610,,WILRIJK,N,,,,001,,BE,0404955204,,038212000,038212009,,2,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0404955204,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
FRITSCH,U,S,FRITSCH & GROZINGER,,"Avenue du X Septembre, 6",,LU2550,,Luxembourg,F,,,002,,,LU,,,00352/45.62.19,,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
GALERE,U,U,SOCIETE DE TRAVAUX GALERE SA,,RUE JOSEPH DUPONT 73,,BE4053,,EMBOURG,F,,003,,,,BE,0403887808,,043666711,043666800,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0403887808,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
GEC_ALSTH,C,U,GEC ALSTHOM T&D BALTEAU SA,,RUE DE MAGNEE 54,,BE4610,,BEYNE-HEUSAY,F,,,,001,,BE,0434244749,,043558282,043558422,,3,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,2003-09-08 00:00:00,1,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0434244749,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
GENELIFE,U,S,GENERALIFE,,"Rue Beck, 4",,LU1222,,LUXEMBOURG,F,,,002,,,LU,,,,,,1,3,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
GEORGE,U,U,GEORGE & CIE SA,,RUE DE L'ILE MONSIN 91,,BE4020,,LIÔGE,F,,003,,,,BE,0403888501,,042640937,042640192,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0403888501,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
GIRAFFE,C,U,GIRAFFE BELGIE NV,,ANTWERPSESTRAAT 36,,BE2500,,LIER,N,,,,001,,BE,0435215937,,034891563,034891009,,3,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0435215937,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
GOLDATA,U,S,GOLDATA NV,,LANGE LEEMSTRAAT 192,,BE2018,,ANTWERPEN,N,,,002,,,BE,0427073578,,032187447,032189736,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0427073578,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
GOSSELIN,U,U,GOSSELIN WORLD WIDE MOVING NV,,BELCROWNLAAN 9 A,,BE2100,,DEURNE,N,,003,,,,BE,0425051129,,033257850,033246820,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0425051129,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
GSPORT,C,U,GSPORT,,,,BE4500,,Huy,E,0,,,003,,,,,,,,1,1,,,,,,,,,,,,,,,,0,0,0,0,60*,,,,,,,,,,,,,,,,,0,0,,,,,0,,0,,,,,,,,,BOB,2003-09-15 10:14:44,ADMIN,2008-06-30 12:00:44,A,,,,,,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgium,0,,,0,,
GUICHETENE,C,U,GUICHET DE L'ENERGIE ASBL,,RUE FERNAND BERNIER 40,,BE1190,,BRUXELLES,N,,,,001,,BE,0223721293,,023485013,023485004,,2,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,2003-09-08 00:00:00,1,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0223721293,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
G_MEDI,U,S,G-MEDI SC,,RUE DE MANGOMBROUX 116-118,,BE4800,,VERVIERS,F,,,002,,,BE,0402307894,,087338090,087338429,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0402307894,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
HESBAYEFRO,U,U,HESBAYEFROST SA,,RUE EMILE LEJEUNE 20,,BE4250,,GEER,F,,003,,,,BE,0427405457,,019588434,019588191,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0427405457,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
HEXCEL,C,U,HEXCEL SA,,RUE TROIS BOURDONS 54 - PARC INDUSTRIEL,,BE4840,,WELKENRAEDT,F,,,,001,,BE,0402459235,,087307411,087882895,,4,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0402459235,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
HOECHST,U,S,HOECHST CELANESE NV,,INDUSTRIEWEG 80,,BE3620,,LANAKEN,N,,,002,,,BE,0403157932,,089700111,089710255,,1,4,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0403157932,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
HONDA,U,U,HONDA EUROPE NV,,LANGERBRUGGESTRAAT 104,,BE9000,,GENT,N,,003,,,,BE,0418250835,,092500211,092516192,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0418250835,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
HOOGOVENS,C,U,HOOGOVENS ALUMINIUM,,A. STOCLETLAAN 87,,BE2570,,DUFFEL,N,,,,001,,BE,0403045292,,015302111,015311981,,3,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0403045292,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
HUGGLE,U,S,Dr Huggle & Partner Gmbh,,"Heinrichsallee, 41",,DE5100,,Aachen,F,,,002,,,DE,,,0049241/403114,,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,DE,Allemagne,0,,,0,,
HYDRO_ALU,U,U,HYDRO ALUMINIUM RAEREN SA-NV,,WALDSTRASSE 91,,BE4730,,RAEREN,F,,003,,,,BE,0414931158,,087859211,087866319,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0414931158,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
IBL,C,U,IBL leasing,,Boulevard Grande-Duchesse,"Charlotte, 31",LU1331,,LUXEMBOURG,,,,,001,,LU,,,00352/45.38.97,,,3,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
IBM,U,S,IBM EUROPEAN INTERN. SA,,SQUARE VICTORIA REGINA 1,,BE1210,,BRUXELLES,N,,,002,,,BE,0405912336,,022253333,022253478,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0405912336,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
ICE,U,U,ICE Commercial Cleaning,,Z.I. de Hamm,B.P. 1685,LU1016,,LUXEMBOURG,F,,003,,,,LU,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
IEH,C,U,INTERCOMMUNALE D'ELECTRICITE DU HAINAUT,,BOULEVARD TIROU 37,,BE6000,,CHARLEROI,F,,,,001,,BE,0223414061,,071271211,071271375,,2,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0223414061,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
IMAVOX,U,S,IMAVOX Corp.,,"Lakeside Drive, Suite 2",,CA94086,,SUNNYVALE USA,F,,,002,,,EX,,N,00-14087363500,,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,CA,Canada,0,,,0,,
INDEPTABAC,U,U,CIE INDEP DES TABACS CINTA,,AVENUE GEORGES RODENBACH,,BE1030,,BRUXELLES,N,,003,,,,BE,0401941175,,022474411,022421752,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0401941175,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
INDUFOR,C,U,INDUFOR NV,,NOORDERLAAN 125,,BE2030,,ANTWERPEN,N,,,,001,,BE,0414850786,,035426370,035421894,,3,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0414850786,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
ING BANK,U,S,ING BANK,,64-66 AVENUE VICTOR HUGO,BP 1961,LU1019,,LUXEMBOURG,F,,,002,,,LU,,,,,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
INTERC,U,U,INTERC GAS ELECTR VAN HET,,LEENSTRAAT 72,,BE8800,,ROESELARE,N,,003,,,,BE,0215266160,,056369211,056369360,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0215266160,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
INTERCOM,C,U,INTERCOM. DES PERSONNES AGEES DE LIEGE S,,RUE BASSE-WEZ 301,,BE4020,,LIEGE,F,,,,001,,BE,0250610881,,043417811,043417810,,2,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0250610881,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
INTERCONTA,U,S,INTERCONTAINER-INTERFRIGO SOCIETE INT. S,,RUE DE FRANCE 85,,BE1060,,BRUXELLES,N,,,002,,,BE,0403449724,,025242238,025254024,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:03,2003-09-12 09:46:03,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0403449724,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
